,Unnamed: 0,Product SMILES,empirical formula,monoisotopic peak,MA,Match,m_z,Retention times,Base Peaks,#,RT [min],Area,Int. Type,I,S/N,Chromatogram,Max. m/z,FWHM [min],Abundance
0,13,C=CCN(C(=O)c1ccccc1)C(C(=O)NC(C)(C)C)c1ccc(CO)o1,C21H26N2O4,371.1970823251201,17,True,371.1984,11.56187,182393.0,14,11.6,13.9779,Chromatogram,23.0,4354.0,"UV Chromatogram, 254 nm",,0.1,1.3108995162729298
1,12,C=CCN(C(=O)c1ccccc1)C(C(=O)NC1CCCCC1)c1ccc(CO)o1,C23H28N2O4,397.21273238958,18,True,397.2164,12.46057,112584.0,19,12.4,24.5857,Chromatogram,11.0,4825.8,"UV Chromatogram, 254 nm",,0.1,2.305738504155229
2,7,C=CCN(C(=O)c1ccccc1)C(/C=C/c1ccccc1)C(=O)NC(C)(C)C,C24H28N2O2,377.22290315044006,15,True,377.2457,12.5521,161137.0,20,12.7,5.1549,Chromatogram,11.0,1972.5,"UV Chromatogram, 254 nm",,0.0,0.4834457190590379
3,17,C=CCN(C(=O)C1CCCCC1)C(C(=O)NC(C)(C)C)c1ccc(CO)o1,C21H32N2O4,377.2440325185,19,True,377.2457,12.5521,161137.0,20,12.7,5.1549,Chromatogram,11.0,1972.5,"UV Chromatogram, 254 nm",,0.0,0.4834457190590379
4,15,C=CCN(C(=O)CCCCC)C(C(=O)NC(C)(C)C)c1ccc(CO)o1,C20H32N2O4,365.2440325185,19,True,365.2487,13.08463,289013.0,23,13.1,10.4712,Chromatogram,8.0,2069.3,"UV Chromatogram, 254 nm",,0.1,0.9820281311782959
5,6,C=CCN(C(=O)c1ccccc1)C(/C=C/c1ccccc1)C(=O)NC1CCCCC1,C26H30N2O2,403.2385532149,16,True,403.2624,13.65047,108042.0,25,13.8,338.9796,Chromatogram,98.0,73613.7,"UV Chromatogram, 254 nm",,0.1,31.790769261934287
6,14,C=CCN(C(=O)CCCCC)C(C(=O)NC1CCCCC1)c1ccc(CO)o1,C22H34N2O4,391.25968258296,17,True,391.2627,13.95,169533.0,26,14.0,9.0734,Chromatogram,8.0,1227.3,"UV Chromatogram, 254 nm",,0.1,0.8509372417137626
7,37,CC(C)(C)NC(=O)C(c1ccc(CO)o1)N(Cc1ccccc1)C(=O)c1ccccc1,C25H28N2O4,421.21273238958,17,True,421.2149,15.4478,218437.0,31,15.4,46.9881,Chromatogram,24.0,12133.2,"UV Chromatogram, 254 nm",,0.0,4.406719003611706
8,36,O=C(NC1CCCCC1)C(c1ccc(CO)o1)N(Cc1ccccc1)C(=O)c1ccccc1,C27H30N2O4,447.22838245404,18,True,447.2318,16.18005,193550.0,34,16.2,46.8561,Chromatogram,24.0,11885.2,"UV Chromatogram, 254 nm",,0.1,4.394339552038291
9,42,N#Cc1ccc(C(C(=O)NC2CCCCC2)N(Cc2ccccc2)C(=O)c2ccccc2)cc1,C29H29N3O2,452.2338021871,16,True,452.2383,18.4683,232189.0,45,18.5,426.5845,Chromatogram,153.0,102709.9,"UV Chromatogram, 254 nm",,0.1,40.00668302817517
10,10,C=CCN(C(=O)C1CCCCC1)C(/C=C/c1ccccc1)C(=O)NC1CCCCC1,C26H36N2O2,409.28550340828,17,True,409.2547,18.73458,186531.0,47,18.7,9.5366,Chromatogram,25.0,3124.7,"UV Chromatogram, 254 nm",,0.0,0.8943778626895617
11,34,O=C(NC1CCCCC1)C(/C=C/c1ccccc1)N(Cc1ccccc1)C(=O)C1CCCCC1,C30H38N2O2,459.30115347274,18,True,459.268,19.82458,280987.0,54,19.8,49.7229,Chromatogram,76.0,18651.5,"UV Chromatogram, 254 nm",,0.0,4.663198732119079
12,9,C=CCN(C(=O)CCCCC)C(/C=C/c1ccccc1)C(=O)NC(C)(C)C,C23H34N2O2,371.2698533438201,18,True,371.274,19.95773,99261.0,56,20.0,8.952,Chromatogram,37.0,3686.6,"UV Chromatogram, 254 nm",,0.0,0.8395518976151832
13,16,C=CCN(C(=O)C1CCCCC1)C(C(=O)NC1CCCCC1)c1ccc(CO)o1,C23H34N2O4,403.25968258296,18,True,403.2979,20.3405,128578.0,59,20.4,36.3904,Chromatogram,38.0,10721.7,"UV Chromatogram, 254 nm",,0.0,3.4128272313422205
14,40,O=C(NC1CCCCC1)C(c1ccc(CO)o1)N(Cc1ccccc1)C(=O)C1CCCCC1,C27H36N2O4,453.27533264742,19,True,453.3156,20.84807,202966.0,62,20.9,33.8549,Chromatogram,34.0,8038.2,"UV Chromatogram, 254 nm",,0.1,3.175038599036223
