,Product SMILES,empirical formula,monoisotopic peak,MA
0,C=CCN(C(=O)c1ccccc1)C(CCCC)C(=O)NC1CCCCC1,C22H32N2O2,357.25420327936,15
1,C=CCN(C(=O)c1ccccc1)C(CCCC)C(=O)NC(C)(C)C,C20H30N2O2,331.23855321490004,16
2,C=CCN(C(=O)CCCCC)C(CCCC)C(=O)NC1CCCCC1,C21H38N2O2,351.30115347274,11
3,C=CCN(C(=O)CCCCC)C(CCCC)C(=O)NC(C)(C)C,C19H36N2O2,325.28550340828,14
4,C=CCN(C(=O)C1CCCCC1)C(CCCC)C(=O)NC1CCCCC1,C22H38N2O2,363.30115347274,12
5,C=CCN(C(=O)C1CCCCC1)C(CCCC)C(=O)NC(C)(C)C,C20H36N2O2,337.28550340828,15
6,C=CCN(C(=O)c1ccccc1)C(/C=C/c1ccccc1)C(=O)NC1CCCCC1,C26H30N2O2,403.23855321490004,16
7,C=CCN(C(=O)c1ccccc1)C(/C=C/c1ccccc1)C(=O)NC(C)(C)C,C24H28N2O2,377.22290315044006,15
8,C=CCN(C(=O)CCCCC)C(/C=C/c1ccccc1)C(=O)NC1CCCCC1,C25H36N2O2,397.28550340828,16
9,C=CCN(C(=O)CCCCC)C(/C=C/c1ccccc1)C(=O)NC(C)(C)C,C23H34N2O2,371.26985334382005,18
10,C=CCN(C(=O)C1CCCCC1)C(/C=C/c1ccccc1)C(=O)NC1CCCCC1,C26H36N2O2,409.28550340828,17
11,C=CCN(C(=O)C1CCCCC1)C(/C=C/c1ccccc1)C(=O)NC(C)(C)C,C24H34N2O2,383.26985334382005,17
12,C=CCN(C(=O)c1ccccc1)C(C(=O)NC1CCCCC1)c1ccc(CO)o1,C23H28N2O4,397.21273238958,18
13,C=CCN(C(=O)c1ccccc1)C(C(=O)NC(C)(C)C)c1ccc(CO)o1,C21H26N2O4,371.19708232512005,17
14,C=CCN(C(=O)CCCCC)C(C(=O)NC1CCCCC1)c1ccc(CO)o1,C22H34N2O4,391.25968258296,17
15,C=CCN(C(=O)CCCCC)C(C(=O)NC(C)(C)C)c1ccc(CO)o1,C20H32N2O4,365.24403251850003,19
16,C=CCN(C(=O)C1CCCCC1)C(C(=O)NC1CCCCC1)c1ccc(CO)o1,C23H34N2O4,403.25968258296,18
17,C=CCN(C(=O)C1CCCCC1)C(C(=O)NC(C)(C)C)c1ccc(CO)o1,C21H32N2O4,377.24403251850003,19
