,Unnamed: 0,Product SMILES,empirical formula,monoisotopic peak,MA,Match,m_z,Retention times,Base Peaks,#,RT [min],Area,Int. Type,I,S/N,Chromatogram,Max. m/z,FWHM [min],Abundance
0,13,C=CCN(C(=O)c1ccccc1)C(C(=O)NC(C)(C)C)c1ccc(CO)o1,C21H26N2O4,371.1970823251201,17,True,371.2023,11.27087,439312.0,14,11.3,8.3714,Chromatogram,18.0,2999.6,"UV Chromatogram, 254 nm",,0.0,0.9154302497022615
1,12,C=CCN(C(=O)c1ccccc1)C(C(=O)NC1CCCCC1)c1ccc(CO)o1,C23H28N2O4,397.21273238958,18,True,397.2165,12.46913,131258.0,20,12.5,24.6637,Chromatogram,12.0,5388.0,"UV Chromatogram, 254 nm",,0.1,2.697027623764444
2,7,C=CCN(C(=O)c1ccccc1)C(/C=C/c1ccccc1)C(=O)NC(C)(C)C,C24H28N2O2,377.22290315044006,15,True,377.2458,12.56067,179365.0,20,12.5,24.6637,Chromatogram,12.0,5388.0,"UV Chromatogram, 254 nm",,0.1,2.697027623764444
3,17,C=CCN(C(=O)C1CCCCC1)C(C(=O)NC(C)(C)C)c1ccc(CO)o1,C21H32N2O4,377.2440325185,19,True,377.2458,12.56067,179365.0,20,12.5,24.6637,Chromatogram,12.0,5388.0,"UV Chromatogram, 254 nm",,0.1,2.697027623764444
4,15,C=CCN(C(=O)CCCCC)C(C(=O)NC(C)(C)C)c1ccc(CO)o1,C20H32N2O4,365.2440325185,19,True,365.2488,13.10155,328039.0,24,13.2,11.6623,Chromatogram,9.0,1854.7,"UV Chromatogram, 254 nm",,0.1,1.2752971069477848
5,6,C=CCN(C(=O)c1ccccc1)C(/C=C/c1ccccc1)C(=O)NC1CCCCC1,C26H30N2O2,403.2385532149,16,True,403.2625,13.65905,131142.0,26,13.6,5.7656,Chromatogram,8.0,1097.9,"UV Chromatogram, 254 nm",,0.1,0.6304805226943354
6,14,C=CCN(C(=O)CCCCC)C(C(=O)NC1CCCCC1)c1ccc(CO)o1,C22H34N2O4,391.25968258296,17,True,391.2628,13.95862,203085.0,28,14.0,11.5272,Chromatogram,9.0,1459.4,"UV Chromatogram, 254 nm",,0.1,1.2605236369505592
7,37,CC(C)(C)NC(=O)C(c1ccc(CO)o1)N(Cc1ccccc1)C(=O)c1ccccc1,C25H28N2O4,421.21273238958,17,True,421.215,15.4315,275518.0,32,15.4,59.9293,Chromatogram,28.0,14145.9,"UV Chromatogram, 254 nm",,0.0,6.553395377533238
8,36,O=C(NC1CCCCC1)C(c1ccc(CO)o1)N(Cc1ccccc1)C(=O)c1ccccc1,C27H30N2O4,447.22838245404,18,True,447.232,16.17207,241675.0,34,16.2,60.0232,Chromatogram,29.0,13923.5,"UV Chromatogram, 254 nm",,0.1,6.563663540617911
9,42,N#Cc1ccc(C(C(=O)NC2CCCCC2)N(Cc2ccccc2)C(=O)c2ccccc2)cc1,C29H29N3O2,452.2338021871,16,True,452.2384,18.44367,261401.0,45,18.4,534.2684,Chromatogram,188.0,118869.9,"UV Chromatogram, 254 nm",,0.1,58.42337659412139
10,10,C=CCN(C(=O)C1CCCCC1)C(/C=C/c1ccccc1)C(=O)NC1CCCCC1,C26H36N2O2,409.28550340828,17,True,409.2549,18.70993,240008.0,47,18.7,13.7344,Chromatogram,29.0,4173.5,"UV Chromatogram, 254 nm",,0.0,1.5018856131006453
11,34,O=C(NC1CCCCC1)C(/C=C/c1ccccc1)N(Cc1ccccc1)C(=O)C1CCCCC1,C30H38N2O2,459.30115347274,18,True,459.2682,19.8083,322387.0,55,19.8,67.9738,Chromatogram,92.0,23187.3,"UV Chromatogram, 254 nm",,0.0,7.433078422630812
12,9,C=CCN(C(=O)CCCCC)C(/C=C/c1ccccc1)C(=O)NC(C)(C)C,C23H34N2O2,371.2698533438201,18,True,371.2741,19.94143,104462.0,56,19.9,12.0423,Chromatogram,28.0,3052.2,"UV Chromatogram, 254 nm",,0.0,1.3168509085684048
13,16,C=CCN(C(=O)C1CCCCC1)C(C(=O)NC1CCCCC1)c1ccc(CO)o1,C23H34N2O4,403.25968258296,18,True,403.298,20.3242,146243.0,59,20.3,48.3073,Chromatogram,44.0,13091.9,"UV Chromatogram, 254 nm",,0.0,5.282505160599428
14,40,O=C(NC1CCCCC1)C(c1ccc(CO)o1)N(Cc1ccccc1)C(=O)C1CCCCC1,C27H36N2O4,453.27533264742,19,True,453.3157,20.69032,244020.0,62,20.7,6.8808,Chromatogram,29.0,1830.9,"UV Chromatogram, 254 nm",,0.0,0.7524299952399027
