#,RT [min],Area,Int. Type,I,S/N,Chromatogram,Max. m/z,FWHM [min]
1,1.8,36.2848,Chromatogram,11,15082,"UV Chromatogram, 254 nm",,0
2,2,261.7982,Chromatogram,,4065.3,"UV Chromatogram, 254 nm",,1.5
3,3.8,72.8993,Chromatogram,1,3264.2,"UV Chromatogram, 254 nm",,0.5
4,4.3,92.5938,Chromatogram,1,2562.6,"UV Chromatogram, 254 nm",,1
5,5.1,44.2599,Chromatogram,1,1424.1,"UV Chromatogram, 254 nm",,0.5
6,6.1,161.6537,Chromatogram,45,52580.7,"UV Chromatogram, 254 nm",,0.1
7,8.9,59.1337,Chromatogram,2,1223.8,"UV Chromatogram, 254 nm",,0.7
8,9.1,17.4126,Chromatogram,2,1449.7,"UV Chromatogram, 254 nm",,0.3
9,9.9,55.6999,Chromatogram,2,2012.1,"UV Chromatogram, 254 nm",,0.7
10,9.9,10.5265,Chromatogram,3,2083.9,"UV Chromatogram, 254 nm",,0.1
11,10.2,83.0574,Chromatogram,3,3025.5,"UV Chromatogram, 254 nm",,0.7
12,11.2,32.4397,Chromatogram,14,11426,"UV Chromatogram, 254 nm",,0.1
13,11.3,12.2011,Chromatogram,9,5077.4,"UV Chromatogram, 254 nm",,0
14,11.5,7.9232,Chromatogram,12,3591.5,"UV Chromatogram, 254 nm",,0
15,11.7,39.359,Chromatogram,15,9036.7,"UV Chromatogram, 254 nm",,0.1
16,12.1,12.7801,Chromatogram,9,4843.6,"UV Chromatogram, 254 nm",,0
17,12.2,7.2043,Chromatogram,6,2099.6,"UV Chromatogram, 254 nm",,0.1
18,12.5,9.5612,Chromatogram,8,3574.7,"UV Chromatogram, 254 nm",,0
19,12.8,40.6746,Chromatogram,15,11876,"UV Chromatogram, 254 nm",,0.1
20,12.9,102.1237,Chromatogram,37,37129.9,"UV Chromatogram, 254 nm",,0.1
21,13.2,5.3607,Chromatogram,7,1473.6,"UV Chromatogram, 254 nm",,0.1
22,13.8,160.1515,Chromatogram,48,49590.4,"UV Chromatogram, 254 nm",,0.1
23,14.3,10.172,Chromatogram,8,1490.3,"UV Chromatogram, 254 nm",,0.1
24,14.5,8.7911,Chromatogram,7,1287.3,"UV Chromatogram, 254 nm",,0.2
25,14.8,5.0428,Chromatogram,8,686.4,"UV Chromatogram, 254 nm",,0.1
