#,RT [min],Area,Int. Type,I,S/N,Chromatogram,Max. m/z,FWHM [min]
1,1.7,47.0765,Chromatogram,10,9804.3,"UV Chromatogram, 254 nm",,0
2,2,177.1807,Chromatogram,,2491.1,"UV Chromatogram, 254 nm",,1.4
3,3.8,30.8899,Chromatogram,1,879.3,"UV Chromatogram, 254 nm",,0.3
4,4.3,12.8402,Chromatogram,1,594.2,"UV Chromatogram, 254 nm",,0.2
5,4.9,12.1897,Chromatogram,1,539.4,"UV Chromatogram, 254 nm",,0.3
6,5.3,9.6515,Chromatogram,1,675.6,"UV Chromatogram, 254 nm",,0.2
7,5.7,16.4713,Chromatogram,1,685.4,"UV Chromatogram, 254 nm",,0.4
8,6.2,231.9976,Chromatogram,44,34953.4,"UV Chromatogram, 254 nm",,0.1
9,9.1,6.8153,Chromatogram,4,1840.4,"UV Chromatogram, 254 nm",,0
10,10.2,5.8027,Chromatogram,4,1465.9,"UV Chromatogram, 254 nm",,0
11,10.8,21.3671,Chromatogram,10,5362.6,"UV Chromatogram, 254 nm",,0.1
12,11.2,43.5501,Chromatogram,26,12581.9,"UV Chromatogram, 254 nm",,0
13,11.3,6.0852,Chromatogram,15,2432.4,"UV Chromatogram, 254 nm",,0
14,11.6,13.9779,Chromatogram,23,4354,"UV Chromatogram, 254 nm",,0.1
15,11.7,106.2864,Chromatogram,33,16681.6,"UV Chromatogram, 254 nm",,0.1
16,11.9,7.3988,Chromatogram,7,1855.4,"UV Chromatogram, 254 nm",,0
17,12.1,20.4901,Chromatogram,12,5562.7,"UV Chromatogram, 254 nm",,0
18,12.2,14.9812,Chromatogram,9,2622.8,"UV Chromatogram, 254 nm",,0.1
19,12.4,24.5857,Chromatogram,11,4825.8,"UV Chromatogram, 254 nm",,0.1
20,12.7,5.1549,Chromatogram,11,1972.5,"UV Chromatogram, 254 nm",,0
21,12.8,46.2993,Chromatogram,24,13054.1,"UV Chromatogram, 254 nm",,0
22,12.9,167.9952,Chromatogram,58,42203.4,"UV Chromatogram, 254 nm",,0.1
23,13.1,10.4712,Chromatogram,8,2069.3,"UV Chromatogram, 254 nm",,0.1
24,13.5,14.6745,Chromatogram,9,2627,"UV Chromatogram, 254 nm",,0.1
25,13.8,338.9796,Chromatogram,98,73613.7,"UV Chromatogram, 254 nm",,0.1
26,14,9.0734,Chromatogram,8,1227.3,"UV Chromatogram, 254 nm",,0.1
27,14.2,13.2426,Chromatogram,9,1795.6,"UV Chromatogram, 254 nm",,0.1
28,14.5,5.8403,Chromatogram,9,1193.7,"UV Chromatogram, 254 nm",,0.1
29,14.7,6.584,Chromatogram,8,669.4,"UV Chromatogram, 254 nm",,0.2
30,15,11.1307,Chromatogram,10,1738.5,"UV Chromatogram, 254 nm",,0.1
31,15.4,46.9881,Chromatogram,24,12133.2,"UV Chromatogram, 254 nm",,0
32,15.7,7.9845,Chromatogram,10,892.7,"UV Chromatogram, 254 nm",,0.2
33,16,13.1853,Chromatogram,13,2317.6,"UV Chromatogram, 254 nm",,0.1
34,16.2,46.8561,Chromatogram,24,11885.2,"UV Chromatogram, 254 nm",,0.1
35,16.7,241.1214,Chromatogram,85,59090.6,"UV Chromatogram, 254 nm",,0.1
36,16.9,88.3445,Chromatogram,37,20910.9,"UV Chromatogram, 254 nm",,0.1
37,17.1,16.8291,Chromatogram,21,5141.2,"UV Chromatogram, 254 nm",,0
38,17.2,5.5377,Chromatogram,18,1958.7,"UV Chromatogram, 254 nm",,0
39,17.3,19.7682,Chromatogram,18,4555.8,"UV Chromatogram, 254 nm",,0.1
40,17.5,237.3441,Chromatogram,78,54174.7,"UV Chromatogram, 254 nm",,0.1
41,17.7,9.9209,Chromatogram,16,1942,"UV Chromatogram, 254 nm",,0
42,17.8,292.2153,Chromatogram,102,70787.5,"UV Chromatogram, 254 nm",,0.1
43,18.2,46.879,Chromatogram,23,8227.2,"UV Chromatogram, 254 nm",,0.1
44,18.3,15.3986,Chromatogram,18,4013.4,"UV Chromatogram, 254 nm",,0
45,18.5,426.5845,Chromatogram,153,102709.9,"UV Chromatogram, 254 nm",,0.1
46,18.6,86.4781,Chromatogram,52,18689.2,"UV Chromatogram, 254 nm",,0.1
47,18.7,9.5366,Chromatogram,25,3124.7,"UV Chromatogram, 254 nm",,0
48,19,2367.6387,Chromatogram,577,449414.6,"UV Chromatogram, 254 nm",,0.1
49,19.2,11.3286,Chromatogram,25,2272,"UV Chromatogram, 254 nm",,0
50,19.3,434.1082,Chromatogram,144,99415.1,"UV Chromatogram, 254 nm",,0.1
51,19.5,49.2346,Chromatogram,30,9336.5,"UV Chromatogram, 254 nm",,0.1
52,19.6,14.2317,Chromatogram,30,4606.1,"UV Chromatogram, 254 nm",,0
53,19.7,245.9176,Chromatogram,145,78233.4,"UV Chromatogram, 254 nm",,0
54,19.8,49.7229,Chromatogram,76,18651.5,"UV Chromatogram, 254 nm",,0
55,19.9,8.7267,Chromatogram,26,2529.4,"UV Chromatogram, 254 nm",,0
56,20,8.952,Chromatogram,37,3686.6,"UV Chromatogram, 254 nm",,0
57,20.1,89.9674,Chromatogram,62,23968,"UV Chromatogram, 254 nm",,0
58,20.2,13.2804,Chromatogram,28,3534.9,"UV Chromatogram, 254 nm",,0
59,20.4,36.3904,Chromatogram,38,10721.7,"UV Chromatogram, 254 nm",,0
60,20.5,7.026,Chromatogram,26,2375.3,"UV Chromatogram, 254 nm",,0
61,20.6,44.5483,Chromatogram,37,10541.4,"UV Chromatogram, 254 nm",,0
62,20.9,33.8549,Chromatogram,34,8038.2,"UV Chromatogram, 254 nm",,0.1
63,21,7.6728,Chromatogram,27,1751,"UV Chromatogram, 254 nm",,0.1
64,21.1,43.4336,Chromatogram,40,11997.9,"UV Chromatogram, 254 nm",,0
65,21.6,16.3239,Chromatogram,25,2061.9,"UV Chromatogram, 254 nm",,0.1
